Mes,Ano,lat,lon,Codigo,regiao,uf,Umidade média mensal,Temperatura média mensal
7,2022,-12.734999989999828,-60.15777777000035,A938,N,RO,47.77284946236559,25.729166666666668
8,2022,-12.734999989999828,-60.15777777000035,A938,N,RO,50.354838709677416,25.04502688172045
9,2022,-12.734999989999901,-60.157777770000294,A938,N,RO,44.505050505050505,28.601683501683503
10,2022,-12.734999990000004,-60.15777777000015,A938,N,RO,55.48760330578512,28.789256198347104
8,2022,-8.598888880000002,-38.58416665999996,A351,NE,PE,59.17829457364341,24.293023255813956
9,2022,-8.598888880000006,-38.58416665999984,A351,NE,PE,54.44722222222222,25.917222222222208
10,2022,-8.598888880000013,-38.58416665999981,A351,NE,PE,49.833333333333336,27.87123655913978
11,2022,-8.598888880000006,-38.58416665999984,A351,NE,PE,58.980555555555554,27.55236111111112
12,2022,-8.598888880000013,-38.58416665999981,A351,NE,PE,60.71236559139785,27.099462365591375
10,2022,-26.913611109999977,-49.26805554000005,A817,S,SC,81.7457627118644,22.435593220338983
11,2022,-26.91361111000005,-49.268055540000184,A817,S,SC,76.85694444444445,21.050416666666653
12,2022,-26.913611110000097,-49.268055540000184,A817,S,SC,81.23924731182795,23.863440860215057
1,2022,-6.4674999900000305,-37.08499999000011,A316,NE,RN,50.17763157894737,31.031250000000007
2,2022,-6.467499990000026,-37.0849999900001,A316,NE,RN,50.28260869565217,31.357971014492765
3,2022,-6.467499990000029,-37.08499999000011,A316,NE,RN,57.88813559322034,30.40949152542375
4,2022,-6.467499990000032,-37.08499999000011,A316,NE,RN,60.461783439490446,29.74872611464968
5,2022,-6.467499990000031,-37.08499999000011,A316,NE,RN,62.06410256410256,29.062820512820508
6,2022,-6.46749999000003,-37.08499999000011,A316,NE,RN,62.303333333333335,27.732333333333322
7,2022,-6.46749999000003,-37.08499999000011,A316,NE,RN,50.64646464646464,28.827272727272717
8,2022,-6.467499990000031,-37.08499999000011,A316,NE,RN,43.34615384615385,29.633012820512832
9,2022,-6.467499990000022,-37.0849999900001,A316,NE,RN,37.003921568627455,31.402352941176467
10,2022,-6.467499990000006,-37.08499999000009,A316,NE,RN,35.755,32.447999999999986
11,2022,-6.4674999900000065,-37.08499999000009,A316,NE,RN,39.78217821782178,32.26732673267327
12,2022,-6.467499990000006,-37.08499999000009,A316,NE,RN,40.975,32.10349999999998
1,2022,-10.207777769999954,-37.431944429999945,A453,NE,SE,60.967914438502675,29.330481283422472
